Université,Date de création,img_url
Université Paris Nanterre,1964,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/L%27universit%C3%A9_Paris_Ouest_Nanterre_La_D%C3%A9fense.jpg/1200px-L%27universit%C3%A9_Paris_Ouest_Nanterre_La_D%C3%A9fense.jpg
Université de La Rochelle,1993,https://www.univ-larochelle.fr/wp-content/uploads/jpg/notre-vision-800x420.jpg
Université de Pau et des Pays de l’Adour,1970,https://organisation.univ-pau.fr/_resource/Images/Illustrations/Campus/Pau/ufr-deg-01.jpg
Université de Bretagne Occidentale,1971,https://media.letelegramme.fr/api/v1/images/view/66fff3fe71e3d6374c15835c/web_golden_xxl/66fff3fe71e3d6374c15835c.1
Université de Bretagne-Sud,1995,https://univ-ubs.nous-recrutons.fr/wp-content/uploads/sites/163/2023/10/DJI_0053-1.jpg
Université de Rouen Normandie,1966,https://www.univ-rouen.fr/wp-content/uploads/2019/12/universite.png
Université d’Orléans,1306,https://upload.wikimedia.org/wikipedia/fr/thumb/5/5a/Campus_Orl%C3%A9ans-la-Source_UFR_lettres%2C_langues_et_sciences_humaines.jpg/1200px-Campus_Orl%C3%A9ans-la-Source_UFR_lettres%2C_langues_et_sciences_humaines.jpg
Université d’Avignon et des Pays de Vaucluse,1303,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/UniversiteAvignon-Entree.jpg/1200px-UniversiteAvignon-Entree.jpg
Université Toulouse - Jean Jaurès,1229,https://www.univ-tlse2.fr/medias/photo/bandeau-rubrique-presentation-des-campus_1539876562104-png?ID_FICHE=90623
Université Paris-Est Créteil Val-de-Marne,1970,https://www.saps-paris-saclay.fr/var/hub_internet_national_saps_paris/storage/images/_aliases/inra_common_hero_banner/1/3/3/7/57331-1-fre-FR/e84521149610-upec.png
Université Gustave Eiffel,2020,https://storage.letudiant.fr/mediatheque/educpros/0/0/2259500-ba-timent-ensg-exte-rieur-arrie-re-agence-pwp-580x310.jpg
Université d’Artois,1992,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Lens_Universit%C3%A9.JPG/260px-Lens_Universit%C3%A9.JPG
Université de Franche-Comté,1423,https://upload.wikimedia.org/wikipedia/commons/d/d1/UFR_SLHS_Universite_de_Franche_Comte.jpg
Université de Valenciennes et du Hainaut-Cambrésis,1968,https://assets.justacote.com/photos_entreprises/uvhc-universite-de-valenciennes-valenciennes-1337096482.jpg
Université Paris 13 (Paris Nord),1970,https://upload.wikimedia.org/wikipedia/commons/3/38/Parvis_central_du_campus_de_Villetaneuse_de_l%27universit%C3%A9_Paris_13.jpg
Université de Cergy-Pontoise,1991,https://www.cyu.fr/medias/photo/campus-au-quotidien-1920_1676470929849-jpg?ID_FICHE=97508
Université de Corse,1765,https://www.francebleu.fr/s3/cruiser-production/2020/04/0173e16c-3b15-47f2-9c49-4ffc1cf58383/1200x680_universite.jpg
Université de Technologie de Troyes,1994,https://www.mondedesgrandesecoles.fr/wp-content/uploads/l-ellipse-symbole-de-lutt-credit-conseil-departemental-de-laube-650x438.jpg
Université de Lorraine Nancy,1970,https://upload.wikimedia.org/wikipedia/commons/6/6e/Pont-%C3%A0-Mousson_ancienne_universit%C3%A9_j%C3%A9suite_1.jpg
Université de la Nouvelle-Calédonie,1987,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Main_building_at_Nouville_campus%2C_University_of_New_Caledonia.png/260px-Main_building_at_Nouville_campus%2C_University_of_New_Caledonia.png
Université Paris Panthéon-Assas,1970,https://i.pinimg.com/736x/6e/6f/aa/6e6faa3c97b07e233adb0525d5594495.jpg
Université de Polynésie française,1987,https://i.pinimg.com/736x/7d/2f/05/7d2f05638cd188844b6c293d92c8d838.jpg
Université de Toulouse III - Paul Sabatier,1229,https://i.pinimg.com/736x/ae/98/68/ae9868497bb44d3598784b42f834a2e2.jpg
Université d’Évry-Val-d’Essonne,1991,https://upload.wikimedia.org/wikipedia/fr/thumb/d/dc/B%C3%A2timent_Premier_cycle_de_l%27universit%C3%A9_d%27%C3%89vry.jpg/1200px-B%C3%A2timent_Premier_cycle_de_l%27universit%C3%A9_d%27%C3%89vry.jpg
Université de la Rochelle,1993,https://i.pinimg.com/236x/b3/44/c9/b344c97b0b9bd28c1d4ca45242f1c943.jpg
Université de Montpellier 3 - Paul Valéry,1289,https://france3-regions.francetvinfo.fr/image/5-6YA7kAKqS3a_U3pJSRst6hMo0/1200x675/regions/2020/06/08/5ede798cc2e63_beziers_guesclin.jpg
Université de Pau,1970,https://i.pinimg.com/736x/3d/db/80/3ddb80de8b286c1e8b3db8670fd0ed15.jpg
Université de Bretagne Occidentale,1971,https://ubo.nous-recrutons.fr/wp-content/uploads/sites/83/2023/01/ubo-faculte-lettres-sciences-humaines-segalen-1024x631.jpg
Université de Paris-Est Marne-la-Vallée,1991,https://i.pinimg.com/736x/5f/ea/0c/5fea0c3257d003da6eedcf6792c9d06a.jpg
Université Savoie Mont Blanc,1979,https://i.pinimg.com/736x/d5/6a/45/d56a4543659236d25bb0fc9db4b9a4a6.jpg
Université Le Havre Normandie,1984,https://i.pinimg.com/736x/2e/09/3b/2e093bf7df120f7f1c4485cde0336e1b.jpg
Université de Picardie Jules Verne,1969,https://boursedetude.org/wp-content/uploads/2023/07/universite-de-Picardie-Jules-Vernes.jpg
Université Paris 8 Vincennes - Saint-Denis,1969,https://www.univ-paris8.fr/IMG/jpg_03-bat-b-bu.jpg
